County,Habitat,Limits,Length_surface,Association,Contract
BACĂU,Acumulare Agrement,Bacău,50 ha,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BACĂU,Acumulare Răcăciuni,Răcăciuni,1700 ha,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BACĂU,Acumulare Berești,Sascut - Berești,1800 ha,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BACĂU,Lac Poiana Uzului,Dărmănești,350 ha,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BIHOR,Valea Vida,Valea Vida,24 Km,"AV VIDA SURDUCEL 
DOBREȘTI",38 /18.10. 2017
BIHOR,Lacul Toplița,Lacul Toplița,"4,5 Ha","AV VIDA SURDUCEL 
DOBREȘTI",38 /18.10. 2017
BIHOR,Râul Crișul Repede,Vadul Crișului – frontieră cu Ungaria,80 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Râul Crișul Negru,Beiuș – frontieră cu Ungaria,82 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Râul Barcău,Suplacul de Barcău – frontieră cu Ungaria,65 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Valea Ierului,Tarcea – frontieră cu Ungaria,31 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Canalul colector,Tărian – Tămașda,61 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Culișer,Salonta – frontieră cu Ungaria,30 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
